game_id,selected,Goalkeeper,Defender,Midfielder,Attacker,transfers_balance,avg_team_strength_next_X,minutes,points_next_X
1,70767,1,0,0,0,0,4,0,3
526,90038,1,0,0,0,188,3,90,2.333333333
1053,107301,1,0,0,0,8540,2.666666667,90,2
1584,123566,1,0,0,0,9582,2.666666667,90,4.666666667
2121,123310,1,0,0,0,-3297,3,90,4.666666667
2658,124787,1,0,0,0,-797,2.666666667,90,4
3196,138891,1,0,0,0,9392,2.666666667,90,0.333333333
3735,107912,1,0,0,0,-28910,2.333333333,45,0
4277,92724,1,0,0,0,-16395,3.333333333,0,0
4823,90783,1,0,0,0,-2999,3.333333333,0,0
5371,87892,1,0,0,0,-3439,3.666666667,0,0
5921,85826,1,0,0,0,-2784,3.666666667,0,0
6473,83590,1,0,0,0,-2721,4,0,0
7026,82400,1,0,0,0,-1529,3.666666667,0,0
7582,81015,1,0,0,0,-1607,2.666666667,0,0
8140,80100,1,0,0,0,-1317,2.333333333,0,0
8699,78349,1,0,0,0,-2094,2.333333333,0,0
9261,77315,1,0,0,0,-1474,3.333333333,0,0
9826,76135,1,0,0,0,-1490,3,0,0
10394,75199,1,0,0,0,-1274,3.333333333,0,0
10962,74203,1,0,0,0,-1289,3,0,0
11532,73210,1,0,0,0,-1560,3,0,0
12106,72299,1,0,0,0,-1218,3.666666667,0,0
12685,71912,1,0,0,0,-814,3,0,0
13268,71563,1,0,0,0,-488,3,0,0
13922,71372,1,0,0,0,-568,2.333333333,0,0
14522,71363,1,0,0,0,-552,3.333333333,0,0
15006,71180,1,0,0,0,-210,4,0,0
15611,70975,1,0,0,0,-321,4,0,0
16217,70799,1,0,0,0,-333,3.333333333,0,0
17131,70711,1,0,0,0,-203,3,0,0
18033,70804,1,0,0,0,-88,2.666666667,0,0
18406,70833,1,0,0,0,-100,2.666666667,0,0
19080,71001,1,0,0,0,-33,2.666666667,0,0
2,110646,1,0,0,0,0,4,0,0
527,107349,1,0,0,0,-14370,3,0,0
1054,92305,1,0,0,0,-17771,2.666666667,0,0
1585,82858,1,0,0,0,-11562,2.666666667,0,0
2122,77555,1,0,0,0,-7085,3,0,0.666666667
2659,74131,1,0,0,0,-4376,2.666666667,0,1.666666667
3197,70906,1,0,0,0,-3790,2.666666667,0,2.333333333
3736,85008,1,0,0,0,11531,2.333333333,45,2
4278,90965,1,0,0,0,4917,3.333333333,90,2
4824,93513,1,0,0,0,1406,3.333333333,90,2.666666667
5372,90454,1,0,0,0,-3545,3.666666667,90,3.333333333
5922,99308,1,0,0,0,6143,3.666666667,90,3
6474,100630,1,0,0,0,544,4,90,2.333333333
7027,101270,1,0,0,0,-51,3.666666667,90,3.666666667
7583,103367,1,0,0,0,1130,2.666666667,90,3.666666667
8141,124446,1,0,0,0,14441,2.333333333,90,3.666666667
8700,135252,1,0,0,0,12049,2.333333333,90,2
9262,142055,1,0,0,0,5500,3.333333333,90,1.666666667
9827,140787,1,0,0,0,-1515,3,90,2
10395,131962,1,0,0,0,-9063,3.333333333,90,2
10963,137572,1,0,0,0,3101,3,90,3.666666667
11533,132250,1,0,0,0,-6048,3,90,3.333333333
12107,123855,1,0,0,0,-8983,3.666666667,90,4.333333333
12686,137995,1,0,0,0,11546,3,90,3.333333333
13269,130106,1,0,0,0,-6387,3,90,5
13923,146892,1,0,0,0,13304,2.333333333,90,4.333333333
14523,163702,1,0,0,0,6232,3.333333333,90,4
15007,156556,1,0,0,0,2302,4,90,4.666666667
15612,149525,1,0,0,0,-6959,4,90,5.666666667
16218,146874,1,0,0,0,-3408,3.333333333,90,6
17132,156501,1,0,0,0,7170,3,90,5
18034,201274,1,0,0,0,36103,2.666666667,90,3.666666667
18407,209355,1,0,0,0,12975,2.666666667,90,3
19082,263807,1,0,0,0,47006,2.666666667,90,2.333333333
3,6155,0,1,0,0,0,4,0,0
528,6682,0,1,0,0,-1179,3,0,0
1055,6226,0,1,0,0,-900,2.666666667,0,0
1586,6016,0,1,0,0,-508,2.666666667,0,0
2123,5961,0,1,0,0,-340,3,0,0
2660,5935,0,1,0,0,-155,2.666666667,0,0
3198,5909,0,1,0,0,-139,2.666666667,0,0
3737,5869,0,1,0,0,-94,2.333333333,0,0
4279,5882,0,1,0,0,-97,3.333333333,0,0
4825,5890,0,1,0,0,-41,3.333333333,0,0
5373,5900,0,1,0,0,-60,3.666666667,0,0
5923,5911,0,1,0,0,-42,3.666666667,0,0
6475,5928,0,1,0,0,-34,4,0,0
7028,5944,0,1,0,0,-22,3.666666667,0,0
7584,5977,0,1,0,0,-13,2.666666667,0,0
8142,6103,0,1,0,0,85,2.333333333,0,0
8701,8214,0,1,0,0,1641,2.333333333,0,0.666666667
9263,11425,0,1,0,0,2718,3.333333333,90,1
9828,11448,0,1,0,0,-231,3,0,1.666666667
10396,9579,0,1,0,0,-1944,3.333333333,69,1.666666667
